"deal_id","stage_id","stage_name","deal_updated_ts"
100086,1,Lead Generation,2024-05-14 05:07:37.000
100086,3,Needs Assessment,2024-06-03 05:07:37.000
100086,4,Proposal/Quote Preparation,2024-07-01 05:07:37.000
100086,6,Closing,2024-07-22 05:07:37.000
100086,7,Implementation/Onboarding,2024-08-11 05:07:37.000
100122,1,Lead Generation,2024-05-07 09:25:54.000
100122,4,Proposal/Quote Preparation,2024-05-12 09:25:54.000
100122,5,Negotiation,2024-05-28 09:25:54.000
100122,6,Closing,2024-06-08 09:25:54.000
101434,1,Lead Generation,2024-04-03 05:56:44.000
101434,2,Qualified lead,2024-04-11 05:56:44.000
101434,3,Needs Assessment,2024-04-17 05:56:44.000
101434,4,Proposal/Quote Preparation,2024-05-17 05:56:44.000
101434,7,Implementation/Onboarding,2024-06-15 05:56:44.000
101434,8,Follow-up/Customer Success,2024-06-19 05:56:44.000
101508,1,Lead Generation,2024-09-26 19:38:12.000
101508,2,Qualified lead,2024-09-28 19:38:12.000
101508,3,Needs Assessment,2024-10-13 19:38:12.000
101508,5,Negotiation,2024-10-27 19:38:12.000
101508,7,Implementation/Onboarding,2024-11-14 19:38:12.000
101700,1,Lead Generation,2024-04-30 05:02:07.000
101700,2,Qualified lead,2024-05-06 05:02:07.000
101700,3,Needs Assessment,2024-05-28 05:02:07.000
101700,4,Proposal/Quote Preparation,2024-05-31 05:02:07.000
101700,8,Follow-up/Customer Success,2024-06-17 05:02:07.000
102496,1,Lead Generation,2024-03-18 17:32:02.000
102496,2,Qualified lead,2024-04-08 17:32:02.000
102496,4,Proposal/Quote Preparation,2024-04-12 17:32:02.000
102496,5,Negotiation,2024-04-17 17:32:02.000
102496,6,Closing,2024-05-05 17:32:02.000
102496,8,Follow-up/Customer Success,2024-05-30 17:32:02.000
102496,9,Renewal/Expansion,2024-06-22 17:32:02.000
103660,1,Lead Generation,2024-05-03 12:29:56.000
103660,3,Needs Assessment,2024-05-05 12:29:56.000
103660,5,Negotiation,2024-05-21 12:29:56.000
103660,8,Follow-up/Customer Success,2024-06-11 12:29:56.000
103941,1,Lead Generation,2024-06-23 08:24:40.000
103941,2,Qualified lead,2024-07-21 08:24:40.000
103941,3,Needs Assessment,2024-08-12 08:24:40.000
103941,5,Negotiation,2024-08-24 08:24:40.000
103941,7,Implementation/Onboarding,2024-09-17 08:24:40.000
104283,1,Lead Generation,2024-04-28 19:22:41.000
104283,2,Qualified lead,2024-05-27 19:22:41.000
104283,3,Needs Assessment,2024-06-18 19:22:41.000
104283,5,Negotiation,2024-07-05 19:22:41.000
104693,1,Lead Generation,2024-08-28 13:30:04.000
104693,3,Needs Assessment,2024-09-24 13:30:04.000
104693,5,Negotiation,2024-10-11 13:30:04.000
105872,1,Lead Generation,2024-03-16 02:12:39.000
105872,2,Qualified lead,2024-03-22 02:12:39.000
105872,3,Needs Assessment,2024-03-23 02:12:39.000
105872,5,Negotiation,2024-03-26 02:12:39.000
105872,6,Closing,2024-04-09 02:12:39.000
107273,1,Lead Generation,2024-04-24 00:41:25.000
107273,3,Needs Assessment,2024-05-08 00:41:25.000
107273,4,Proposal/Quote Preparation,2024-05-22 00:41:25.000
107273,8,Follow-up/Customer Success,2024-06-05 00:41:25.000
108447,1,Lead Generation,2024-09-18 09:29:07.000
108447,2,Qualified lead,2024-10-18 09:29:07.000
108447,3,Needs Assessment,2024-10-23 09:29:07.000
108447,4,Proposal/Quote Preparation,2024-11-04 09:29:07.000
108447,6,Closing,2024-11-11 09:29:07.000
108447,8,Follow-up/Customer Success,2024-11-30 09:29:07.000
108574,1,Lead Generation,2024-06-22 02:08:59.000
108574,2,Qualified lead,2024-06-24 02:08:59.000
108574,4,Proposal/Quote Preparation,2024-07-14 02:08:59.000
108574,9,Renewal/Expansion,2024-07-29 02:08:59.000
109238,1,Lead Generation,2024-09-24 09:46:40.000
109238,4,Proposal/Quote Preparation,2024-10-08 09:46:40.000
109238,5,Negotiation,2024-10-15 09:46:40.000
109298,1,Lead Generation,2024-03-18 15:35:08.000
109298,2,Qualified lead,2024-04-07 15:35:08.000
109298,4,Proposal/Quote Preparation,2024-04-30 15:35:08.000
109298,5,Negotiation,2024-05-16 15:35:08.000
109298,7,Implementation/Onboarding,2024-05-24 15:35:08.000
110614,1,Lead Generation,2024-04-05 11:24:29.000
110614,2,Qualified lead,2024-04-25 11:24:29.000
110614,3,Needs Assessment,2024-05-18 11:24:29.000
110614,4,Proposal/Quote Preparation,2024-06-05 11:24:29.000
110614,7,Implementation/Onboarding,2024-06-10 11:24:29.000
110614,8,Follow-up/Customer Success,2024-06-13 11:24:29.000
110614,9,Renewal/Expansion,2024-07-01 11:24:29.000
110628,1,Lead Generation,2024-07-17 23:22:33.000
110628,2,Qualified lead,2024-08-11 23:22:33.000
110628,3,Needs Assessment,2024-08-15 23:22:33.000
110628,4,Proposal/Quote Preparation,2024-09-04 23:22:33.000
110628,6,Closing,2024-10-03 23:22:33.000
110628,7,Implementation/Onboarding,2024-10-16 23:22:33.000
110628,8,Follow-up/Customer Success,2024-11-08 23:22:33.000
110739,1,Lead Generation,2024-02-06 07:16:02.000
110739,2,Qualified lead,2024-03-03 07:16:02.000
110739,3,Needs Assessment,2024-03-25 07:16:02.000
110739,4,Proposal/Quote Preparation,2024-03-29 07:16:02.000
110806,1,Lead Generation,2024-08-01 06:22:14.000
110806,2,Qualified lead,2024-08-28 06:22:14.000
110806,3,Needs Assessment,2024-09-08 06:22:14.000
110806,4,Proposal/Quote Preparation,2024-09-14 06:22:14.000
110806,5,Negotiation,2024-09-17 06:22:14.000
110806,8,Follow-up/Customer Success,2024-10-09 06:22:14.000
110806,9,Renewal/Expansion,2024-10-25 06:22:14.000
111789,1,Lead Generation,2024-07-22 05:54:59.000
111789,2,Qualified lead,2024-08-03 05:54:59.000
111789,4,Proposal/Quote Preparation,2024-08-16 05:54:59.000
111789,7,Implementation/Onboarding,2024-09-05 05:54:59.000
112387,1,Lead Generation,2024-03-15 08:16:18.000
112387,2,Qualified lead,2024-03-26 08:16:18.000
112387,4,Proposal/Quote Preparation,2024-04-04 08:16:18.000
112387,5,Negotiation,2024-04-25 08:16:18.000
112387,6,Closing,2024-04-27 08:16:18.000
112387,9,Renewal/Expansion,2024-05-03 08:16:18.000
112871,1,Lead Generation,2024-09-01 13:15:18.000
112871,2,Qualified lead,2024-09-10 13:15:18.000
112871,3,Needs Assessment,2024-09-21 13:15:18.000
112871,5,Negotiation,2024-09-27 13:15:18.000
112871,8,Follow-up/Customer Success,2024-10-21 13:15:18.000
113231,1,Lead Generation,2024-03-18 02:38:18.000
113231,2,Qualified lead,2024-04-15 02:38:18.000
113231,4,Proposal/Quote Preparation,2024-04-29 02:38:18.000
113231,5,Negotiation,2024-05-06 02:38:18.000
113231,7,Implementation/Onboarding,2024-06-04 02:38:18.000
113422,1,Lead Generation,2024-08-09 03:09:43.000
113422,2,Qualified lead,2024-08-30 03:09:43.000
113422,4,Proposal/Quote Preparation,2024-09-08 03:09:43.000
113422,7,Implementation/Onboarding,2024-09-21 03:09:43.000
113615,1,Lead Generation,2024-07-07 01:50:42.000
113615,3,Needs Assessment,2024-07-08 01:50:42.000
114998,1,Lead Generation,2024-08-05 10:34:22.000
114998,2,Qualified lead,2024-08-24 10:34:22.000
114998,4,Proposal/Quote Preparation,2024-09-12 10:34:22.000
114998,5,Negotiation,2024-09-18 10:34:22.000
114998,8,Follow-up/Customer Success,2024-10-03 10:34:22.000
115934,1,Lead Generation,2024-09-12 03:01:25.000
115934,2,Qualified lead,2024-09-14 03:01:25.000
115934,3,Needs Assessment,2024-10-02 03:01:25.000
115934,4,Proposal/Quote Preparation,2024-10-14 03:01:25.000
115934,5,Negotiation,2024-10-31 03:01:25.000
115988,1,Lead Generation,2024-03-16 14:44:43.000
115988,2,Qualified lead,2024-03-29 14:44:43.000
115988,3,Needs Assessment,2024-04-17 14:44:43.000
115988,4,Proposal/Quote Preparation,2024-04-18 14:44:43.000
115988,6,Closing,2024-04-24 14:44:43.000
115988,7,Implementation/Onboarding,2024-05-07 14:44:43.000
116051,1,Lead Generation,2024-07-28 10:26:35.000
116051,2,Qualified lead,2024-08-14 10:26:35.000
116051,6,Closing,2024-08-24 10:26:35.000
116051,9,Renewal/Expansion,2024-08-26 10:26:35.000
116234,1,Lead Generation,2024-08-20 01:35:47.000
116234,2,Qualified lead,2024-09-09 01:35:47.000
116234,3,Needs Assessment,2024-10-03 01:35:47.000
116234,7,Implementation/Onboarding,2024-10-09 01:35:47.000
116234,9,Renewal/Expansion,2024-10-10 01:35:47.000
116259,1,Lead Generation,2024-09-06 04:14:25.000
116259,2,Qualified lead,2024-09-12 04:14:25.000
116259,3,Needs Assessment,2024-09-29 04:14:25.000
116259,4,Proposal/Quote Preparation,2024-10-07 04:14:25.000
116511,1,Lead Generation,2024-09-04 23:19:51.000
116511,2,Qualified lead,2024-09-18 23:19:51.000
116511,3,Needs Assessment,2024-09-19 23:19:51.000
116511,4,Proposal/Quote Preparation,2024-10-13 23:19:51.000
116511,5,Negotiation,2024-10-27 23:19:51.000
117885,1,Lead Generation,2024-07-07 05:51:06.000
117885,2,Qualified lead,2024-07-30 05:51:06.000
117885,4,Proposal/Quote Preparation,2024-08-16 05:51:06.000
117885,5,Negotiation,2024-09-11 05:51:06.000
117885,6,Closing,2024-09-17 05:51:06.000
117933,1,Lead Generation,2024-07-08 05:27:38.000
117933,2,Qualified lead,2024-07-12 05:27:38.000
117933,3,Needs Assessment,2024-07-21 05:27:38.000
